1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Center Octagon,Southpaw,Hooks,Left Hook to Head,RightJabHi + LeftStraightHi + RightJabHi,Jabs,Right Leg Kick,No Data,Body Kicks,Right Jab to Head,No Data,0,0.7,28%,0,UFC,0,0,0,6,0,0,55%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-05/71559%252Fprofile-galery%252Fprofile-picture%252FTAFA_JUSTIN_05-22.png?VersionId=null,87.2%,72.4%,-22,0,1.2,1.3,2.1,0.7,0,8.4%,0,55%,0.6%,13.6%,3.9%,0.0%,0.0%,3.2%,1.3%,10.4%,2.6%,0,16%,0,35,0,0,0,0,0,0,0,0,39.1%,41.8%,-36,3.3,8.4,3-3,0-0,0-0,0.6%,0,45%,0.0%,10.4%,0.6%,11.0%,1.9%,13.6%,0.0%,0.0%,0.0%,38%,37.5%,27%,27.4%,35%,35.1%,0%,0.0%,0%,0.0%,10,0,0,0,0,0,0,0,0,0,48.8%,54.8%,-58,5.1,10.5,0,2.1,1,0,0.7,0,0,0,0,0,0,0,0,100%,50.0%,,0,0,0,0.7,0.8,0,0.7,1,0,0,11.0%,3.2%,1.9%,0.6%,0.6%,0,6480bbd259b391b3ca0a1994,12%,0,33,JustinTafaBad Man,Justin Tafa,Male,0,1%,"6'0""",1.8,53%,49%,3,Bad Man,104.5,"West Auckland, New Zealand",3.7,74,https://www.fightstats.xyz/search?q=Justin Tafa,87%,47%,51%,5.5,6,Heavyweight,6
Moving Backwards,Orthodox,Jabs,Left Jab to Head,No Data,Hooks,Left Leg Kick,No Data,Crosses,Right Leg Kick,No Data,0,0,6%,0,UFC,0,0.5,0,4,0,0,66%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-07/KARA-FRANCE_KAI_07-30.png,62.3%,62.2%,37,0,1.3,2.2,0.5,0.3,0,1.9%,0,64%,0.5%,8.6%,0.5%,27.8%,2.4%,14.4%,0.5%,0.0%,0.5%,0,29%,0,49,0,0,0,0,0,0,0,0,26.5%,39.2%,-48,2.8,10.6,1-2,0-1,0-0,0.5%,0,36%,0.5%,8.1%,0.0%,0.0%,0.0%,13.9%,1.4%,10.5%,0.0%,31%,31.2%,33%,33.5%,35%,35.3%,0%,0.0%,0%,0.0%,11,0,0,0,0,0,0,0,0,0,33.8%,52.5%,-11,4.4,13.2,0,1,0.7,0,1.3,0,0,0,0,0,0,0,0,85%,28.6%,,0,1,0,1,0.4,0,0.5,0.6,0,0,0.0%,2.9%,1.4%,0.0%,3.8%,0.5,6480bbd259b391b3ca0a1995,3%,0,30.7,"KaiKara FranceDon't Blink",Kai Kara-france,Male,0,4%,"5'5""",0.6,32%,38%,10,"Don't Blink",96.4,"Auckland, New Zealand",3.7,69,https://www.fightstats.xyz/search?q=Kai Kara-france,94%,68%,62%,4.3,4,Flyweight,24
Pressuring,Switch,Leg Kicks,Left Jab to Head,RightStraightHi + LeftHookHi + LeftJabHi,Jabs,Right Straight to Head,LeftJabHi + LeftHookHi + RightHookHi + LeftHookHi,Hooks,Left Hook to Head,RightHookHi + LeftHookHi + RightHookLo,0,0.2,37%,0,UFC,0,1.4,0,8,0,0,57%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3088812.png,57.6%,63.9%,-99,0,0.5,0.9,1.1,0.7,0,0.7%,0,53%,0.0%,4.9%,1.0%,15.5%,1.7%,0.8%,0.1%,0.3%,0.1%,0,6%,0,164,0,0,0,0,0,0,0,0,43.8%,36.6%,119,3.6,8.2,2-0,0-0,4-2,4.2%,0,47%,0.2%,4.9%,3.2%,4.0%,0.1%,3.5%,0.2%,5.8%,0.5%,23%,23.4%,27%,27.4%,20%,20.1%,17%,16.9%,12%,12.1%,35,0.9,0,0,0,0,0,0,0,0,54.4%,47.7%,20,6.6,12.2,0,0.9,1,0.3,1,0,0,0,0,0,0,0,0,98%,42.2%,,0.3,0,0,0.2,0.6,0,0.8,1,0,0.3,16.0%,5.6%,1.5%,11.8%,13.6%,1.4,6480bbd359b391b3ca0a1996,18%,0,44.5,KamaruUsmanThe Nigerian Nightmare,Kamaru Usman,Male,4,21%,"6'0""",1.1,34%,37%,3,The Nigerian Nightmare,136.5,"Auchi, Nigeria",1.7,76,https://www.fightstats.xyz/search?q=Kamaru Usman,62%,66%,63%,2.8,4,Welterweight,20
Ground-Bottom,Orthodox,Leg Kicks,Left Jab to Head,No Data,Hooks,Left Leg Kick,No Data,Jabs,Right Body Kick,No Data,0,0,32%,0,UFC,0,0,0,2,0,0,41%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-05/72339047-c789-4024-98e7-dd3cb406eedc%252FCHOOKAGIAN_KATLYN_05-14.png,48.9%,62.2%,-3,0,1.5,3,0,0.3,0,1.6%,0,80%,0.0%,3.1%,0.0%,14.1%,1.6%,14.1%,0.0%,0.0%,0.0%,0,27%,0,15,0,0,0,0,0,0,0,0,27.5%,39.2%,-6,1.3,4.6,0-1,0-1,0-0,12.5%,0,20%,1.6%,0.0%,0.0%,0.0%,0.0%,4.7%,1.6%,3.1%,0.0%,73%,73.1%,22%,21.8%,5%,5.1%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,46.8%,52.5%,-9,4.3,9.3,0,0,0.7,0,1.3,0,0,0,0,0,0,0,0,0%,0%,,0,3.3,0,1.7,0.4,3.3,1.7,0.6,0,1.7,6.2%,0.0%,4.7%,7.8%,23.4%,0,6480bbd359b391b3ca0a1997,6%,0,36.5,KatlynChookagianBlonde Fighter,Katlyn Chookagian,Female,0,31%,"5'9""",1.7,20%,68%,5,Blonde Fighter,112.7,"Quakertown, United States",1.4,68,https://www.fightstats.xyz/search?q=Katlyn Chookagian,63%,80%,32%,3.1,2,Womens Flyweight,18
Pressuring,Southpaw,Crosses,Right Jab to Head,No Data,Leg Kicks,Left Leg Kick,No Data,Hooks,Left Straight to Head,No Data,0,0,18%,0,UFC,0,1.9,0,2,0,0,62%,0,0,0,0,0,https://a.espncdn.com/i/headshots/mma/players/full/3026011.png,86.8%,63.0%,-29,0,0.8,0.9,0,0.7,0,2.9%,0,43%,0.7%,7.4%,2.9%,0.0%,0.0%,17.6%,0.7%,14.0%,2.9%,0,19%,0,40,0,0,0,0,0,0,0,0,31.8%,41.4%,-7,2.6,8.3,0-0,0-1,0-1,0.0%,0,57%,0.0%,11.0%,1.5%,24.3%,0.0%,2.9%,0.7%,0.0%,0.0%,21%,20.7%,26%,26.2%,23%,23.2%,18%,17.7%,12%,12.2%,8,0,0,0,0,0,0,0,0,0,38.9%,51.2%,-36,3.7,9.5,0,1.2,0.7,0,1.2,2,1,28,24,14,0,18,0,0%,28.6%,,0,1.2,0,2.5,0.7,0.6,1.2,0.7,0,0,4.4%,2.2%,3.7%,0.0%,0.0%,1.9,6480bbd459b391b3ca0a1998,6%,0,29.1,KelvinGastelum,Kelvin Gastelum,Male,0,0%,"5'9""",1.6,37%,28%,8,,91.5,"San Jose, United States",2.6,71,https://www.fightstats.xyz/search?q=Kelvin Gastelum,94%,63%,72%,4.2,2,Middleweight,18
Center Octagon,Orthodox,Crosses,Left Leg Kick,No Data,Hooks,Right Leg Kick,No Data,Jabs,Left Jab to Head,No Data,0,1.4,17%,0,UFC,0,0.5,0,8,0,0,50%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3943695.png,68.2%,63.9%,46,0,2.1,3.1,1.9,0.7,0,3.4%,0,43%,0.3%,3.1%,0.6%,9.0%,0.3%,13.6%,0.0%,0.0%,0.0%,0,33%,0,54,0,0,0,0,0,0,0,0,36.1%,36.6%,-54,2.2,6,2-2,3-0,0-1,6.2%,0,57%,0.3%,5.2%,1.2%,0.9%,0.0%,12.0%,0.0%,8.0%,0.0%,55%,55.4%,34%,33.7%,9%,8.6%,2%,2.3%,0%,0.0%,16,0,0,0,0,0,0,0,0,0,55.5%,47.7%,-8,6.2,11.1,0,2.3,1,2.3,1,0,0,0,0,0,0,0,0,66%,55.6%,,0,2.3,1.4,0.5,0.6,0.5,2.8,1,0,0.9,0.9%,4.0%,4.6%,3.1%,23.1%,0.5,6480bbd459b391b3ca0a1999,5%,0,45.8,Kevin HollandTrailblazer,Kevin Holland,Male,3,25%,"6'3""",1.3,36%,32%,9,Trailblazer,141.5,"Riverside, United States",2.9,81,https://www.fightstats.xyz/search?q=Kevin Holland,70%,64%,68%,4.2,5,Welterweight,24
Center Octagon,Orthodox,Hooks,Left Jab to Head,No Data,Jabs,Right Jab to Head,No Data,Crosses,Right Straight to Head,No Data,0,3.4,14%,0,UFC,0,2.6,0,6,0,0,74%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-10/71660%252Fprofile-galery%252Fprofile-picture%252FCHIMAEV_KHAMZAT_10-30.png,68.2%,63.9%,8,0,0.5,0.8,1.7,0.7,0,0.0%,0,31%,0.0%,0.9%,0.0%,3.5%,0.0%,0.0%,0.0%,0.6%,0.0%,0,12%,0,29,4,0,13,21,9,3,11,6,34.2%,36.6%,8,2.2,6.3,4-0,2-0,0-0,1.8%,0,69%,0.0%,2.3%,0.9%,2.6%,0.0%,2.6%,0.9%,2.6%,0.0%,81%,80.8%,9%,9.3%,10%,9.9%,0%,0.0%,0%,0.0%,9,0.9,2,0,1,0,0,0,0,0,66.2%,47.7%,16,12.3,18.6,0,0,1,6,1,0,0,0,0,0,0,0,0,100%,73.3%,,0,0,0,0.9,0.6,0,0.9,1,0,0,0.3%,2.0%,0.0%,1.5%,77.5%,2.6,6480bbd559b391b3ca0a199a,2%,0,60,KhamzatChimaevBorz,Khamzat Chimaev,Male,4,76%,"6'2""",0.2,35%,50%,0,Borz,182,Sweden,1.6,75,https://www.fightstats.xyz/search?q=Khamzat Chimaev,22%,65%,50%,1.9,2,Welterweight,12
Center Octagon,Switch,Jabs,Left Leg Kick,No Data,Hooks,Right Hook to Head,No Data,Uppercuts,Right Leg Kick,No Data,0,0,12%,0,UFC,0,0,0,2,0,0,47%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/image/ufc-fighter-container/68520/profile-galery/profile-picture/ABREU_KLIDSON.png?VersionId=q9XVlsloDmIrMopmCSyKdamlzrrxCcYN,57.1%,62.9%,3,0,0.5,0.9,0,0.8,0,0.0%,0,50%,5.9%,0.0%,5.9%,0.0%,0.0%,29.4%,0.0%,5.9%,5.9%,0,41%,0,16,0,0,0,0,0,0,0,0,18.8%,41.0%,-22,0.6,3,0-0,0-0,0-0,0.0%,0,50%,0.0%,17.6%,0.0%,0.0%,0.0%,11.8%,0.0%,0.0%,0.0%,46%,45.8%,29%,29.2%,25%,25.0%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,29.0%,52.1%,-19,1.2,4.3,0,1.6,1,0,1.1,0,0,0,0,0,0,0,0,100%,0.0%,,0,0,0,4.7,0.9,0,0,1.1,0,0,0.0%,17.6%,0.0%,0.0%,0.0%,0,6480bbd559b391b3ca0a199b,15%,0,10.5,KlidsonAbreuWhite Bear,Klidson Abreu,Male,0,0%,"6'2""",0.3,67%,38%,4,White Bear,33.5,"Manaus, Brazil",1.8,74,https://www.fightstats.xyz/search?q=Klidson Abreu,85%,33%,62%,2.1,1,Light Heavyweight,15
Moving Backwards,Orthodox,Hooks,Left Jab to Head,RightStraightHi + LeftJabHi + RightStraightHi,Leg Kicks,Right Straight to Head,LeftJabHi + RightStraightHi + LeftJabHi + RightStraightHi,Crosses,Right Leg Kick,No Data,0,0,19%,0,UFC,0,0.7,0,2,0,0,68%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3075001.png,54.2%,62.2%,-68,0,0.4,0.7,0,0.3,0,2.8%,0,68%,0.0%,2.8%,0.0%,35.2%,1.4%,5.6%,0.0%,0.0%,0.0%,0,13%,0,34,1,0,4,23,5,0,6,0,19.6%,39.2%,-116,1.5,7.5,0-1,0-1,0-0,4.2%,0,32%,0.0%,2.8%,1.4%,0.0%,0.0%,5.6%,0.0%,9.9%,4.2%,29%,29.5%,56%,56.4%,12%,11.5%,3%,2.6%,0%,0.0%,7,0,4,0,1,3,3,0,4,0,26.6%,52.5%,-184,2.4,8.9,0,0,0.7,0,1.3,0,0,0,0,0,0,0,0,0%,10.5%,,0,2.2,0,0,0.4,0,3.7,0.6,0,0,2.8%,9.9%,0.0%,7.0%,4.2%,0.7,6480bbd659b391b3ca0a199c,11%,0,15.2,LaurenMurphyLucky,Lauren Murphy,Female,1,10%,"5'7""",2.4,12%,66%,6,Lucky,52.9,"Anchorage, United States",4.6,67,https://www.fightstats.xyz/search?q=Lauren Murphy,79%,88%,34%,7,1,Womens Flyweight,16
Moving Backwards,Switch,Jabs,Left Leg Kick,RightJabHi + LeftBodyKick + LeftBodyKick,Hooks,Right Jab to Head,No Data,Leg Kicks,Left Hook to Head,No Data,0,1.3,19%,0,UFC,0,0.4,0,6,0,0,53%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-08/EDWARDS_LEON_BELTMOCK.png,82.8%,63.9%,75,0,1.1,1.3,0.4,0.7,0,9.3%,0,57%,1.7%,9.3%,0.0%,5.5%,1.5%,22.7%,0.3%,4.4%,0.0%,0,28%,0,119,10,2,7,13,12,0,7,0,34.4%,36.6%,-41,1.3,3.8,2-0,1-0,2-0,0.9%,0,43%,0.0%,4.4%,0.0%,10.5%,1.2%,1.7%,0.0%,0.9%,0.0%,23%,23.1%,24%,24.4%,20%,20.5%,16%,15.8%,16%,16.3%,25,0,4,2,13,33,6,0,8,2,50.1%,47.7%,34,2.9,5.8,0,0.4,1,0.2,1,21,2,27,18,66,1,3,4,91%,52.6%,,0,0.2,1.1,0.2,0.6,0.6,0.2,1,0,0.4,4.1%,1.5%,6.7%,0.6%,12.8%,0.4,6480bbd659b391b3ca0a199d,6%,0,23.3,LeonEdwardsRocky,Leon Edwards,Male,1,13%,"6'0""",0.4,37%,40%,3,Rocky,71.8,"Kingston, Jamaica",1.5,74,https://www.fightstats.xyz/search?q=Leon Edwards,81%,63%,60%,1.9,5,Welterweight,21
Ground-Bottom,Switch,Leg Kicks,Right Leg Kick,No Data,Jabs,Left Leg Kick,No Data,Crosses,Right Body Kick,No Data,0,0,14%,0,UFC,0,0,0,1,0,0,12%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2018-10/CARMOUCHE_LIZ.png?VersionId=ddQs6UAG0C2TSE3esgLCIIuUau.zDa2U,65.2%,62.2%,15,0,1.7,2.6,0,0.3,0,0.7%,0,60%,0.0%,0.7%,0.0%,1.4%,0.0%,4.1%,0.0%,0.0%,0.0%,0,73%,0,25,0,0,0,0,0,0,0,0,6.7%,39.2%,-32,0.2,3,0-0,0-1,0-0,3.4%,0,40%,0.7%,0.0%,0.0%,0.0%,0.0%,20.3%,0.0%,0.7%,0.7%,5%,4.7%,5%,4.7%,31%,31.1%,22%,22.3%,37%,37.2%,5,0,6,1,1,2,36,0,2,0,59.0%,52.5%,-17,5.9,10,0,0,0.7,0,1.3,0,0,0,0,0,0,0,0,0%,0.0%,,0,2,0,1,0.4,0,0,0.6,0,0,0.0%,0.0%,0.7%,43.9%,23.0%,0,6480bbd759b391b3ca0a199e,0%,0,42.3,LizCarmoucheGirl-Rilla,Liz Carmouche,Female,0,67%,"5'6""",1.1,20%,17%,7,Girl-Rilla,129.6,"Lafayette, United States",1.5,66,https://www.fightstats.xyz/search?q=Liz Carmouche,33%,80%,83%,2.6,1,Womens Flyweight,13
Ground-Top,Orthodox,Leg Kicks,Left Jab to Head,No Data,Jabs,Right Straight to Head,No Data,Crosses,Right Leg Kick,No Data,0,0,17%,0,UFC,0,0,0,1,0,0,59%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4021217.png,76.5%,46.3%,-28,0,0.5,0.7,0,0.3,0,2.7%,0,56%,0.9%,0.0%,0.0%,7.1%,0.0%,1.8%,0.0%,0.9%,0.0%,0,24%,0,25,5,1,1,8,7,0,6,1,14.3%,34.2%,-15,0.6,4.5,0-1,0-0,0-0,1.8%,0,44%,0.0%,0.9%,0.0%,0.0%,0.0%,4.4%,0.0%,4.4%,0.0%,8%,7.9%,43%,43.0%,12%,12.3%,7%,7.0%,30%,29.8%,5,0,0,0,0,0,0,0,0,0,50.2%,39.8%,-43,4.6,9.1,0,0,0.6,4,1.5,0,0,0,0,0,0,0,0,0%,21.4%,,3,0,0,0,0,0,1,2.1,0,0,0.0%,0.0%,0.0%,3.5%,71.7%,0,6480bbd759b391b3ca0a199f,0%,0,33.4,MackenzieDern,Mackenzie Dern,Female,1,75%,"5'4""",1.6,7%,16%,3,,103.1,United States,1.2,63,https://www.fightstats.xyz/search?q=Mackenzie Dern,25%,93%,84%,2.9,0,Womens Strawweight,12
Center Octagon,Southpaw,Leg Kicks,Right Hook to Head,No Data,Body Kicks,Left Body Kick,No Data,Hooks,Right Jab to Head,No Data,0,0.5,25%,0,UFC,0,0.2,0,11,0,0,62%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-03/87f9ceae-319d-44d9-b497-957c30643b32%252FANKALAEV_MAGOMED_03-12.png,64.3%,62.9%,-11,0,0.7,1.1,1,0.8,0,9.5%,0,43%,2.4%,4.9%,0.2%,2.2%,0.2%,2.8%,0.6%,6.3%,1.6%,0,13%,0,157,0,0,0,0,0,0,0,0,49.3%,41.0%,102,2.4,4.9,1-0,0-0,2-0,0.8%,0,57%,0.2%,9.7%,0.2%,8.1%,0.6%,5.7%,0.0%,0.6%,0.0%,32%,32.1%,32%,31.6%,22%,22.0%,6%,6.1%,8%,8.3%,30,0.3,0,0,0,0,0,0,0,0,56.0%,52.1%,91,4.5,8.1,0,0.3,1,0,1.1,0,0,0,0,0,0,0,0,95%,33.3%,,0,0,0.2,0.3,0.9,0.2,0.3,1.1,0,0.3,3.0%,2.8%,0.4%,5.9%,31.6%,0.2,6480bbd859b391b3ca0a19a0,4%,1,27.7,MagomedAnkalaev,Magomed Ankalaev,Male,3,27%,"6'3""",0.8,44%,46%,1,,84.5,Russia,0.5,75,https://www.fightstats.xyz/search?q=Magomed Ankalaev,69%,56%,54%,1.3,8,Light Heavyweight,18
Center Octagon,Orthodox,Jabs,Right Leg Kick,LeftJabHi + RightHookHi + LeftJabHi + LeftJabHi,Hooks,Left Hook to Head,LeftJabHi + RightUppercutHi + LeftHookHi,Crosses,Left Jab to Head,No Data,0,0,8%,0,UFC,0,1.5,0,5,0,0,66%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-09/68724%252Fprofile-galery%252Fprofile-picture%252FMORAES_MARLON_09-25.png,57.4%,63.9%,8,0,1,1.8,0.7,0.7,0,1.8%,0,57%,2.7%,18.9%,0.9%,9.0%,0.0%,1.8%,0.9%,0.0%,0.0%,0,26%,0,34,1,2,11,4,5,1,0,2,36.3%,33.4%,-22,1.8,5,0-2,0-0,0-2,1.8%,0,43%,2.7%,8.1%,1.8%,1.8%,0.0%,20.7%,0.9%,5.4%,0.0%,77%,77.1%,19%,19.5%,3%,3.4%,0%,0.0%,0%,0.0%,9,0.7,0,0,0,0,0,0,0,0,46.5%,45.2%,-14,3.5,7.5,0,1.5,0.7,1.5,1.1,3,3,20,6,20,1,3,3,48%,83.3%,,0,0,0.7,2.2,0.6,0.7,3.7,0.7,0,0.7,0.0%,1.8%,0.9%,4.5%,13.5%,1.5,6480bbd959b391b3ca0a19a1,2%,1,24.3,MarlonMoraesMagic,Marlon Moraes,Male,0,17%,"5'6""",0.8,66%,30%,10,Magic,76.2,"Nova Friburgo, Brazil",2.4,67,https://www.fightstats.xyz/search?q=Marlon Moraes,82%,34%,70%,3.1,5,Bantamweight,23
Center Octagon,Switch,Jabs,Right Leg Kick,LeftJabHi + RightStraightHi + LeftJabHi,Hooks,Left Jab to Head,No Data,Crosses,Right Body Kick,No Data,0,0,22%,0,UFC,0,0,0,10,0,0,53%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-04/201830d1-e3a2-47db-8632-58dc5d483957%252FVERA_MARLON_04-30.png,64.7%,63.9%,145,0,2.1,3.3,1.8,0.7,0,3.9%,0,74%,0.4%,3.5%,0.5%,14.8%,0.3%,4.3%,0.0%,4.7%,0.0%,0,26%,0,126,36,6,21,86,91,0,25,7,45.9%,33.4%,-202,2.5,5.5,3-2,1-0,4-0,9.3%,0,26%,1.9%,1.5%,0.1%,3.6%,0.3%,16.6%,0.4%,2.6%,0.4%,28%,28.3%,30%,29.8%,32%,31.8%,6%,6.0%,4%,4.1%,28,0.2,0,0,0,0,0,0,0,0,58.4%,45.2%,-57,6.2,10.5,0,1,0.7,3.6,1.1,34,5,13,41,35,1,20,12,92%,25.0%,,0,0.2,0.4,0,0.6,0.6,0,0.7,0,0.2,1.3%,1.3%,5.8%,2.4%,20.1%,0,6480bbd959b391b3ca0a19a2,3%,1,42.9,MarlonVeraChito,Marlon Vera,Male,6,22%,"5'8""",1,19%,35%,8,Chito,133.7,"Chone, Ecuador",3.8,70,https://www.fightstats.xyz/search?q=Marlon Vera,76%,81%,65%,4.8,5,Bantamweight,20
Pressuring,Southpaw,Leg Kicks,Right Jab to Head,RightJabHi + LeftStraightHi + RightJabHi,Body Kicks,Left Straight to Head,No Data,Jabs,Left Leg Kick,No Data,0,0.3,14%,0,UFC,0,0.3,0,5,0,0,74%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4001851.png,69.4%,63.0%,-89,0,0.4,0.6,0,0.7,0,3.3%,0,31%,0.0%,3.6%,1.1%,0.0%,0.0%,6.6%,0.0%,10.6%,1.8%,0,12%,0,84,0,0,0,0,0,0,0,0,27.5%,41.4%,30,2,7.3,1-1,1-0,0-1,0.0%,0,69%,0.0%,5.5%,1.5%,31.8%,1.1%,2.6%,0.0%,0.0%,0.0%,46%,46.5%,17%,16.9%,12%,12.3%,17%,17.2%,7%,7.1%,17,0.9,0,0,0,0,0,0,0,0,36.6%,51.2%,-59,3.4,9.2,0,0,0.7,1.8,1.2,0,0,0,0,0,0,0,0,0%,21.4%,,0,0,0.3,0,0.7,0.3,0.9,0.7,0,0,1.8%,1.5%,1.8%,1.8%,23.7%,0.3,6480bbd959b391b3ca0a19a3,3%,1,27.6,MarvinVettoriThe Italian Dream,Marvin Vettori,Male,3,25%,"6'0""",1.5,21%,28%,6,The Italian Dream,85.9,"Trento, Italy",1.5,74,https://www.fightstats.xyz/search?q=Marvin Vettori,72%,79%,72%,3,1,Middleweight,19
Center Octagon,Switch,Body Kicks,Left Jab to Head,LeftJabHi + RightHookHi + LeftStraightHi,Leg Kicks,Right Straight to Head,LeftJabHi + RightStraightHi + LeftJabHi,Crosses,Right Jab to Head,No Data,0,1.5,11%,0,UFC,0,2.4,0,7,0,0,75%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3068125.png,71.6%,66.0%,-66,0,0.6,0.8,0.3,0.7,0,0.9%,0,51%,0.0%,2.5%,0.0%,16.7%,2.2%,3.7%,0.6%,4.0%,0.6%,0,13%,0,85,6,0,6,32,13,2,27,1,42.0%,41.7%,63,2.1,5,3-0,0-1,2-1,2.8%,0,49%,1.5%,4.0%,0.0%,6.5%,0.3%,5.9%,0.3%,13.3%,0.3%,36%,36.3%,35%,35.5%,21%,20.9%,3%,2.9%,4%,4.4%,19,3.8,2,0,1,10,2,0,7,0,53.4%,52.9%,-3,3.9,7.4,0,0.3,1.1,1.2,1.2,4,5,14,41,16,1,25,1,95%,35.4%,,0,0,0,0.9,0.6,0.3,0.9,1.1,0,0,0.6%,2.8%,0.9%,1.2%,28.4%,2.4,6480bbda59b391b3ca0a19a4,3%,0,31,MateuszGamrotGamer,Mateusz Gamrot,Male,7,29%,"5'10""",1.3,14%,24%,2,Gamer,95.6,"Bielsko, Poland",1.2,70,https://www.fightstats.xyz/search?q=Mateusz Gamrot,68%,86%,76%,2.6,0,Lightweight,22
